station_name,address,lat,lon,total_bike,available_bike,location,nowdate
광진교 남단 사거리(디지털프라자앞),서울특별시 강동구 구천면로 171 376 남단사거리,37.541805,127.124718,15,13,서울,201804261939
해공공원(천호동),서울특별시 강동구 올림픽로 702 265,37.545219,127.125916,10,20,서울,201804261939
해공도서관앞,서울특별시 강동구 올림픽로 702 367,37.543915,127.125458,20,18,서울,201804261939
삼성광나루아파트 버스정류장,서울특별시 강동구 상암로3길 77 암사동 534,37.553349,127.128860,10,31,서울,201804261939
롯데캐슬 115동앞,서울특별시 강동구 양재대로 1665 명일동 304,37.554920,127.142799,15,2,서울,201804261939
암사동 선사유적지,서울특별시 강동구 올림픽로 875 암사동 139-2,37.559063,127.130646,16,6,서울,201804261939
암사역 3번출구(국민은행앞),서울특별시 강동구 올림픽로 지하 776 암사동 555,37.549549,127.127151,10,17,서울,201804261939
천호역4번출구(현대백화점),서울특별시 강동구 천호대로 지하 997 성내동 62-1,37.538658,127.124214,20,2,서울,201804261939
(구)합정동 주민센터,서울특별시 마포구 동교로8길 58 444-12,37.549561,126.905754,5,2,서울,201804261939
강동세무서,서울특별시 강동구 천호대로 1139 길동 467,37.534481,127.138344,20,2,서울,201804261939
LIGA 아파트 앞,서울특별시 강동구 천호대로 1120 성내동 450-31,37.534771,127.135239,20,7,서울,201804261939
서울 상운차량,서울특별시 강동구 올림픽로 610 성내동 93-34,37.536026,127.122726,15,5,서울,201804261939
강동구청역 1번 출입구,서울특별시 강동구 올림픽로 지하 550 1번 출입구,37.530773,127.120926,15,0,서울,201804261939
강동구평생학습관앞,서울특별시 강동구 고덕로 295 명일동 320-2,37.550800,127.142624,15,0,서울,201804261939
샛마을 근린공원,서울특별시 강동구 구천면로 431-2 샛마을 근린공원,37.550079,127.146912,13,12,서울,201804261939
해뜨는 주유소옆 리엔파크 109동앞,서울특별시 강동구 상일로 152 강일동 607-14,37.559399,127.171158,10,11,서울,201804261939
맥도날드(길동),서울특별시 강동구 천호대로 1207 맥도날드(길동),37.535473,127.145172,20,15,서울,201804261939
둔촌 주공 GS 맞은편,서울특별시 강동구 양재대로 1330 둔촌동 541-6,37.524681,127.135406,20,3,서울,201804261939
다성이즈빌아파트(호원대 대각선 맞은편),서울특별시 강동구 성내로 91 다성이즈빌아파트(호원대 대각선 맞은편),37.526825,127.130028,10,13,서울,201804261939
망원역 1번출구 앞,서울특별시 마포구 월드컵로 72 475-54,37.556000,126.910454,20,9,서울,201804261939
강동경찰서,서울특별시 강동구 성내로 57 강동경찰서,37.528290,127.126801,15,12,서울,201804261939
강일동 리슈빌 빌딩앞,서울특별시 강동구 아리수로 419 강일동 306-7,37.564301,127.173950,15,14,서울,201804261939
길동 사거리(초소앞),서울특별시 강동구 양재대로 1441 성내동 379-41,37.533764,127.138031,20,4,서울,201804261939
한국종합기술사옥 앞,서울특별시 강동구 상일동 504  상일동 삼성엔지니어링 앞,37.549999,127.174690,15,0,서울,201804261939
강동구청 앞,서울특별시 성내동 546-3  강동구청 앞,37.529251,127.123108,10,14,서울,201804261939
상일초등학교,서울특별시  상일동 440-3 상일초등학교,37.546696,127.172546,10,4,서울,201804261939
대명초교 입구 교차로,서울특별시 명일동 59 대명초교 입구 교차로,37.546631,127.155884,14,6,서울,201804261939
프라자 아파트 앞,서울특별시 길동 176-3 프라자 아파트 앞,37.535999,127.147697,20,11,서울,201804261939
포레스 주상복합 빌딩,서울특별시 성내동 119-2 포레스 주상복합 빌딩,37.533100,127.122780,10,2,서울,201804261939
롯데 시네마,서울특별시 성내동  44-1 롯데 시네마,37.536541,127.125397,10,16,서울,201804261939
망원역 2번출구 앞,서울특별시 마포구 월드컵로 79 378-18,37.554951,126.910835,14,13,서울,201804261939
미호 플랜트 앞,서울특별시 성내동 478 미호 플랜트 앞,37.527061,127.122070,15,1,서울,201804261939
암사동 CBIS,서울특별시 암사동 440-13 암사동 CBIS,37.555851,127.129898,15,5,서울,201804261939
선사고등학교,서울특별시 암사동 445 선사고등학교,37.556728,127.136208,20,14,서울,201804261939
고덕동 아남아파트,서울특별시 고덕동 673 고덕동 아남아파트,37.557991,127.144707,10,4,서울,201804261939
고덕동 래미안 힐스테이트,서울특별시 고덕동 603 고덕동 래미안 힐스테이트,37.561909,127.150749,15,12,서울,201804261939
고덕역 4번출구,서울특별시 명일동 46-5 고덕역 4번출구,37.555016,127.155273,20,17,서울,201804261939
고덕동 주양쇼핑,서울특별시 명일동 48-2 고덕동 주양쇼핑,37.551998,127.153297,10,4,서울,201804261939
강일 6단지,서울특별시 강일동 448-2 강일 6단지,37.562588,127.177612,10,9,서울,201804261939
강일 다솜 어린이 공원,서울특별시 강일동 333-2 강일 다솜 어린이 공원,37.568668,127.174797,10,5,서울,201804261939
고덕초등학교,서울특별시 고덕동 215 고덕초등학교,37.561279,127.167801,7,6,서울,201804261939
합정역 1번출구 앞,서울특별시 마포구 양화로 59 393-7,37.550629,126.914986,13,2,서울,201804261939
강일동 에너지 마루,서울특별시 고덕동 375 강일동 에너지 마루,37.567200,127.163460,15,6,서울,201804261939
묘곡초등학교,서울특별시 고덕동 499-2 묘곡초등학교,37.559196,127.153297,10,13,서울,201804261939
강일 2.5단지 사이,서울특별시 강일동 63-20 강일 2.5단지 사이,37.568562,127.177002,10,9,서울,201804261939
굽은다리역,서울특별시  양재대로 1572 굽은다리역,37.545399,127.142601,15,12,서울,201804261939
건강보험 강동지사kt,서울특별시 강동구 천호대로175길 39 건강보험 강동지사kt,37.536381,127.137253,10,0,서울,201804261939
동부기업(둔촌동),서울특별시 강동구 진황도로 172 동부기업,37.531013,127.142365,10,4,서울,201804261939
강일동 10단지 아파트,서울특별시 강동구 고덕로97길 20 강일동 10단지 아파트,37.561180,127.180267,10,5,서울,201804261939
합정역 5번출구 앞,서울특별시 마포구 양화로 48 394-95,37.550007,126.914825,5,0,서울,201804261939
둔촌역 3번 출입구,서울특별시 강동구 양재대로 1355 둔촌역 3번 출입구,37.526695,127.135529,15,22,서울,201804261939
양지시장 (용성약국앞) 입구,서울특별시 강동구 고덕로 109 양지시장 (용성약국앞) 입구,37.554829,127.137321,15,3,서울,201804261939
합정역 7번출구 앞,서울특별시 마포구 독막로 4 381-1,37.548645,126.912827,10,4,서울,201804261939
신한은행 서교동금융센터점 앞,서울특별시 마포구 월드컵북로 35 449-28,37.557510,126.918503,5,4,서울,201804261939
서교동 사거리,서울특별시 마포구 양화로 93 427,37.552746,126.918617,10,9,서울,201804261939
제일빌딩 앞,서울특별시 마포구 어울마당로 26 12-2,37.547691,126.919983,10,17,서울,201804261939
