acinum,year,loc1,loc2,time02,time04,time06,time08,time10,time12,time14,time16,time18,time20,time22,22~24
1,2007,서울,종로구,,,1,7,5,3,6,5,2,8,5,1
2,2007,서울,중구,,1,,2,4,2,2,6,6,3,2,
3,2007,서울,용산구,2,,1,,3,3,2,2,4,5,4,4
4,2007,서울,성동구,,1,,11,18,12,9,9,20,17,9,10
5,2007,서울,동대문구,3,2,4,13,19,15,16,21,16,23,8,9
6,2007,서울,성북구,1,2,1,5,11,11,7,10,9,7,11,4
7,2007,서울,도봉구,2,1,4,3,11,2,7,12,12,16,5,5
8,2007,서울,은평구,3,,3,8,11,11,13,12,22,11,11,7
9,2007,서울,서대문구,1,1,1,5,4,7,2,2,6,8,2,3
10,2007,서울,마포구,1,2,2,12,14,12,16,11,17,10,9,5
11,2007,서울,강서구,6,5,5,11,12,17,6,18,16,23,13,12
12,2007,서울,구로구,3,1,5,10,15,8,6,9,15,19,9,7
13,2007,서울,영등포구,,4,6,11,29,12,10,17,26,15,16,13
14,2007,서울,동작구,1,,4,3,6,2,5,12,8,3,3,
15,2007,서울,관악구,2,,2,9,5,2,7,7,12,11,10,5
16,2007,서울,강남구,3,,2,6,16,8,5,7,9,8,11,6
17,2007,서울,강동구,4,1,4,18,18,14,16,17,33,23,11,8
18,2007,서울,송파구,9,6,8,18,27,30,18,32,33,32,34,19
19,2007,서울,서초구,2,,,3,9,4,4,6,5,9,7,5
20,2007,서울,양천구,2,,3,12,21,5,19,13,18,13,9,9
21,2007,서울,중랑구,5,3,5,13,20,14,14,16,23,21,21,12
22,2007,서울,노원구,4,2,5,17,16,19,9,24,27,27,17,10
23,2007,서울,광진구,1,2,5,11,27,13,19,18,22,19,18,15
24,2007,서울,강북구,2,2,4,15,4,5,5,5,9,10,4,7
25,2007,서울,금천구,,1,1,4,10,4,,10,5,6,7,
26,2007,부산,중구,1,,,,1,,1,2,1,3,,1
27,2007,부산,서구,,,,,3,,1,2,1,2,,2
28,2007,부산,동구,,,,1,1,,1,1,2,3,2,
29,2007,부산,영도구,,1,,1,,,,1,,1,1,
30,2007,부산,진구,,1,,4,5,4,2,3,3,2,4,5
31,2007,부산,동래구,1,,,7,2,2,1,2,5,11,2,1
32,2007,부산,남구,,,1,3,4,4,3,1,5,5,1,3
33,2007,부산,북구,1,,,1,,1,2,1,3,2,,
34,2007,부산,해운대구,1,,,3,3,2,5,7,5,2,2,2
35,2007,부산,사하구,1,,2,6,3,3,2,2,7,8,2,2
36,2007,부산,금정구,,,1,3,1,2,1,3,2,1,1,2
37,2007,부산,강서구,,,,2,2,3,1,2,1,5,,2
38,2007,부산,연제구,2,1,,2,5,2,1,3,4,1,4,1
39,2007,부산,수영구,1,,1,3,2,3,3,1,2,2,3,2
40,2007,부산,사상구,,,1,4,4,2,3,3,8,7,4,5
41,2007,부산,기장군,,,,1,,1,3,2,1,1,1,
42,2007,대구,중구,,1,1,8,14,10,9,11,7,10,5,5
43,2007,대구,동구,3,1,,8,12,19,21,13,13,23,11,9
44,2007,대구,서구,6,,1,8,19,7,12,17,14,24,9,6
45,2007,대구,남구,,1,1,10,10,3,5,8,9,14,3,3
46,2007,대구,북구,5,3,4,18,36,22,29,36,24,43,25,7
47,2007,대구,수성구,7,1,4,15,25,17,15,24,23,22,17,5
48,2007,대구,달서구,6,1,2,26,32,10,17,32,35,28,17,21
